GEOID,ntl
48201431101,0.2662893121891123
48201431102,0.39076648885390386
48201431201,1.1213185296370398
48201431202,-0.10100026660197302
48201431301,-0.7146408733085025
48201431302,-0.7669407029181986
48201431401,-0.8303073668740414
48201431402,-0.8142997705907713
48201431501,-0.8389612200489088
48201431502,-0.8390332997087853
48201431600,-0.7755682040290692
48201431700,-0.6163111004592509
48201431801,-0.7151062686648477
48201431802,-0.34655750766986043
48201431900,0.09898899113478464
48201432001,-0.43517998093474375
48201432002,-0.8156380459258923
48201432100,0.14693563821661632
48201432200,0.27212263957477506
48201432300,-0.626039637536093
48201432400,-0.5343222246821582
48201432500,0.8301450917273149
48201432600,0.12378628833700558
48201432701,-0.830861369863172
48201432702,-0.050863323069918254
48201432801,-0.578958376797291
48201432802,-0.3083791211979145
48201432901,0.5629644655599569
48201432902,0.5228595766427238
48201433001,0.2303678667640368
48201433002,0.7003727776167173
48201433003,0.3089887759088243
48201433100,-0.15751548784127536
48201433201,-0.320462377451215
48201433202,0.3042646608661507
48201433300,0.6439024663275946
48201433400,0.0353790980133056
48201433501,0.41922057405437085
48201433502,0.635948839535979
48201433600,0.6261962605376848
