GEOID,income_rank,catogroy
48201330700,0.3905249679897567,Q2
48201330800,0.7298335467349552,Q4
48201330900,0.558258642765685,Q3
48201331100,0.04737516005121639,Q1
48201331200,0.03585147247119078,Q1
48201331300,0.28169014084507044,Q2
48201331400,0.002560819462227913,Q1
48201331500,0.5172855313700384,Q3
48201331601,0.17541613316261204,Q1
48201331602,0.20102432778489115,Q2
48201331700,0.09218950064020487,Q1
48201331800,0.18181818181818182,Q1
48201331900,0.4238156209987196,Q3
48201332000,0.07042253521126761,Q1
48201332100,0.235595390524968,Q2
48201332200,0.33674775928297057,Q2
48201332300,0.1792573623559539,Q1
48201332400,0.17413572343149808,Q1
48201332500,0.28040973111395645,Q2
48201332600,0.24583866837387963,Q2
48201332700,0.3905249679897567,Q2
48201332800,0.14212548015364918,Q1
48201332900,0.29961587708066584,Q2
48201333000,0.5364916773367477,Q3
48201333100,0.3546734955185659,Q2
48201333201,0.29449423815621,Q2
48201333202,0.14596670934699105,Q1
48201333300,0.22535211267605634,Q2
48201333500,0.2407170294494238,Q2
48201333600,0.6555697823303457,Q4
48201333700,0.38412291933418696,Q2
48201333800,0.49039692701664533,Q3
48201333901,0.7387964148527529,Q4
48201333902,0.4622279129321383,Q3
48201334001,0.3047375160051216,Q2
48201334002,0.5326504481434059,Q3
48201334003,0.5083226632522407,Q3
48201334100,0.5275288092189501,Q3
48201340100,0.3713188220230474,Q2
48201340201,0.8809218950064021,Q5
48201340202,0.9577464788732394,Q5
48201340203,0.9206145966709347,Q5
48201340301,0.9807938540332907,Q5
48201340302,0.882202304737516,Q5
48201340400,0.971830985915493,Q5
48201340500,0.3405889884763124,Q2
48201340600,0.7976952624839949,Q4
48201340700,0.7029449423815621,Q4
48201340800,0.9244558258642765,Q5
48201340900,0.4519846350832266,Q3
48201341000,0.5390524967989757,Q3
48201341100,0.5723431498079385,Q3
48201341201,0.2727272727272727,Q2
48201341202,0.7592829705505761,Q4
48201341301,0.41229193341869397,Q3
48201341302,0.42765685019206146,Q3
48201341400,0.8924455825864277,Q5
48201341501,0.765685019206146,Q4
48201341502,0.7605633802816901,Q4
48201341600,0.8271446862996159,Q5
48201341700,0.7836107554417413,Q4
48201341800,0.7720870678617158,Q4
48201342001,0.8770806658130602,Q5
48201342002,0.8322663252240717,Q5
48201342100,0.6952624839948783,Q4
48201342200,0.5608194622279129,Q3
48201342300,0.5992317541613317,Q3
48201342400,0.5787451984635084,Q3
48201342500,0.677336747759283,Q4
48201342700,0.6389244558258643,Q4
48201342800,0.8950064020486556,Q5
48201342900,0.7618437900128041,Q4
48201343000,0.6094750320102432,Q4
48201343100,0.7900128040973111,Q4
48201343200,0.8642765685019206,Q5
48201343301,0.7695262483994878,Q4
48201343302,0.7144686299615877,Q4
48201343600,0.617157490396927,Q4
48201343700,0.5211267605633803,Q3
48201350100,0.8066581306017926,Q5
48201350200,0.6414852752880922,Q4
48201350300,0.8604353393085787,Q5
48201350400,0.5659411011523687,Q3
48201350500,0.3354673495518566,Q2
48201350601,0.6811779769526248,Q4
48201350602,0.8476312419974392,Q5
48201350700,0.8040973111395646,Q5
48201350801,0.5941101152368758,Q3
48201350802,0.6875800256081946,Q4
48201410100,0.5300896286811779,Q3
48201410200,0.9321382842509603,Q5
48201410300,0.8617157490396927,Q5
48201410401,0.9615877080665813,Q5
48201410402,0.8681177976952625,Q5
48201410500,0.8028169014084507,Q5
48201410600,0.7259923175416133,Q4
48201410701,0.7426376440460948,Q4
48201410702,0.5556978233034571,Q3
48201410800,0.6530089628681178,Q4
48201410900,0.8425096030729834,Q5
48201411000,0.8194622279129321,Q5
48201411100,0.9756722151088348,Q5
48201411200,0.9859154929577465,Q5
48201411300,0.8284250960307298,Q5
48201411400,0.9910371318822023,Q5
48201411501,0.7861715749039693,Q4
48201411502,0.7746478873239436,Q4
48201411600,0.9743918053777209,Q5
48201411700,0.7003841229193342,Q4
48201411800,0.7413572343149808,Q4
48201411900,0.7567221510883483,Q4
48201412000,0.9782330345710627,Q5
48201412200,0.942381562099872,Q5
48201412300,0.9910371318822023,Q5
48201412400,0.9910371318822023,Q5
48201412500,0.9910371318822023,Q5
48201412600,0.9910371318822023,Q5
48201412700,0.9449423815620999,Q5
48201412800,0.9884763124199744,Q5
48201412900,0.6005121638924455,Q4
48201413000,0.969270166453265,Q5
48201413100,0.9910371318822023,Q5
48201413201,0.499359795134443,Q3
48201413202,0.6376440460947503,Q4
48201413300,0.8104993597951344,Q5
48201420100,0.3585147247119078,Q2
48201420200,0.6504481434058899,Q4
48201420300,0.8309859154929577,Q5
48201420400,0.8169014084507042,Q5
48201420500,0.1882202304737516,Q1
48201420600,0.7311139564660691,Q4
48201420700,0.9628681177976952,Q5
48201420800,0.9795134443021767,Q5
48201420900,0.9846350832266325,Q5
48201421000,0.967989756722151,Q5
48201421101,0.26888604353393086,Q2
48201421102,0.07810499359795134,Q1
48201421201,0.2330345710627401,Q2
48201421202,0.05377720870678617,Q1
48201421300,0.13188220230473752,Q1
48201421401,0.056338028169014086,Q1
48201421402,0.04225352112676056,Q1
48201421403,0.05761843790012804,Q1
48201421500,0.10627400768245839,Q1
48201421600,0.09346991037131883,Q1
48201421700,0.6402048655569782,Q4
48201421800,0.3879641485275288,Q2
48201421900,0.970550576184379,Q5
48201422000,0.8732394366197183,Q5
48201422100,0.5620998719590269,Q3
48201422200,0.015364916773367477,Q1
48201422301,0.06145966709346991,Q1
48201422302,0.5313700384122919,Q3
48201422401,0.040973111395646605,Q1
48201422402,0.36107554417413573,Q2
48201422500,0.28297055057618437,Q2
48201422600,0.4942381562099872,Q3
48201422701,0.44430217669654287,Q3
48201422702,0.5966709346991037,Q3
48201422800,0.21638924455825864,Q2
48201422900,0.21382842509603073,Q2
48201423000,0.147247119078105,Q1
48201423100,0.1587708066581306,Q1
48201423201,0.6965428937259923,Q4
